"code","stage1","stage2","stage3","x","y","lonD","lonM","lonS","latD","latM","latS"
"1100000000","서울특별시","","","60","127","126","58","48.03","37","33","48.85"
"1111000000","서울특별시","종로구","","60","127","126","58","53.91","37","34","13.36"
"1111051500","서울특별시","종로구","청운효자동","60","127","126","58","14.35","37","35","2.89"
"1111053000","서울특별시","종로구","사직동","60","127","126","58","15.44","37","34","23.77"
"1111054000","서울특별시","종로구","삼청동","60","127","126","59","2.32","37","34","56.73"
"1111055000","서울특별시","종로구","부암동","60","127","126","57","59.2","37","35","23.48"
"1111056000","서울특별시","종로구","평창동","60","127","126","58","7.96","37","36","9.08"
"1111057000","서울특별시","종로구","무악동","60","127","126","57","40.35","37","34","17.54"
"1111058000","서울특별시","종로구","교남동","60","127","126","57","50.76","37","34","8.67"
"1111060000","서울특별시","종로구","가회동","60","127","126","59","12.88","37","34","38.11"
"1111061500","서울특별시","종로구","종로1.2.3.4가동","60","127","126","59","27.84","37","34","4.39"
"1111063000","서울특별시","종로구","종로5.6가동","60","127","127","0","25.76","37","34","9.16"
"1111064000","서울특별시","종로구","이화동","60","127","127","0","23.03","37","34","27.17"
"1111065000","서울특별시","종로구","혜화동","60","127","127","0","9.44","37","35","2.36"
"1111067000","서울특별시","종로구","창신제1동","61","127","127","1","6.47","37","34","4.57"
"1111068000","서울특별시","종로구","창신제2동","60","127","127","0","46.67","37","34","17.92"
"1111069000","서울특별시","종로구","창신제3동","60","127","127","1","1.79","37","34","30.17"
"1111070000","서울특별시","종로구","숭인제1동","60","127","127","1","3.59","37","34","30.1"
"1111071000","서울특별시","종로구","숭인제2동","61","127","127","1","19.4","37","34","19.33"
"1114000000","서울특별시","중구","","60","127","126","59","58.71","37","33","39.61"
"1114052000","서울특별시","중구","소공동","60","127","126","58","44.79","37","33","34.67"
"1114054000","서울특별시","중구","회현동","60","126","126","58","53.2","37","33","16.14"
"1114055000","서울특별시","중구","명동","60","127","126","59","16.4","37","33","26.05"
"1114057000","서울특별시","중구","필동","60","127","126","59","51.76","37","33","26.47"
"1114058000","서울특별시","중구","장충동","60","127","127","0","35.76","37","33","32.82"
"1114059000","서울특별시","중구","광희동","60","127","127","0","25.79","37","33","42.23"
"1114060500","서울특별시","중구","을지로동","60","127","126","59","36.35","37","33","50.04"
"1114061500","서울특별시","중구","신당동","60","127","127","0","59.88","37","33","33.52"
"1114062500","서울특별시","중구","다산동","60","126","127","0","37.11","37","33","5.82"
"1114063500","서울특별시","중구","약수동","60","126","127","0","39.91","37","32","58.77"
"1114064500","서울특별시","중구","청구동","60","126","127","1","0.44","37","33","15.33"
"1114065000","서울특별시","중구","신당제5동","61","127","127","1","26.28","37","33","44.39"
"1114066500","서울특별시","중구","동화동","61","127","127","1","17.55","37","33","26.02"
"1114067000","서울특별시","중구","황학동","61","127","127","1","24.59","37","33","52.79"
"1114068000","서울특별시","중구","중림동","60","126","126","57","59.76","37","33","7.32"
"1117000000","서울특별시","용산구","","60","126","126","58","3.08","37","32","9.94"
"1117051000","서울특별시","용산구","후암동","60","126","126","58","48.96","37","32","45.17"
"1117052000","서울특별시","용산구","용산2가동","60","126","126","59","15.23","37","32","35.23"
"1117053000","서울특별시","용산구","남영동","60","126","126","58","37.08","37","32","34.2"
"1117055500","서울특별시","용산구","청파동","60","126","126","58","19.35","37","32","33.2"
"1117056000","서울특별시","용산구","원효로제1동","60","126","126","58","6.03","37","32","9.13"
"1117057000","서울특별시","용산구","원효로제2동","59","126","126","57","12.88","37","31","53.73"
"1117058000","서울특별시","용산구","효창동","60","126","126","57","48.23","37","32","20.23"
"1117059000","서울특별시","용산구","용문동","60","126","126","57","34.79","37","32","10.5"
"1117062500","서울특별시","용산구","한강로동","60","126","126","58","17.52","37","31","34.47"
"1117063000","서울특별시","용산구","이촌제1동","60","126","126","58","31.28","37","31","6.25"
"1117064000","서울특별시","용산구","이촌제2동","59","126","126","57","22.79","37","31","26.51"
"1117065000","서울특별시","용산구","이태원제1동","60","126","126","59","49.35","37","31","46.17"
"1117066000","서울특별시","용산구","이태원제2동","60","126","126","59","30.64","37","32","16.7"
"1117068500","서울특별시","용산구","한남동","60","126","127","0","9.52","37","31","54.79"
"1117069000","서울특별시","용산구","서빙고동","60","126","126","59","48.4","37","31","3.38"
"1117070000","서울특별시","용산구","보광동","60","126","127","0","8.4","37","31","24.47"
"1120000000","서울특별시","성동구","","61","127","127","2","20.4","37","33","38.2"
"1120052000","서울특별시","성동구","왕십리제2동","61","127","127","1","57.76","37","33","30.01"
"1120053500","서울특별시","성동구","왕십리도선동","61","127","127","1","32.01","37","34","3.92"
"1120054000","서울특별시","성동구","마장동","61","127","127","2","51.23","37","33","48.36"
"1120055000","서울특별시","성동구","사근동","61","127","127","2","52.64","37","33","30.26"
"1120056000","서울특별시","성동구","행당제1동","61","126","127","2","17.08","37","33","19.27"
